date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:57:22	141370/141370	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jun%202021%2013:06:26%20GMT	https://templates.iqonic.design/muzik/html/index.html	/home/ontuga/websites/Music%20app/templates.iqonic.design/muzik/html/index.html	(from )
12:57:23	236/236	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2004%20Mar%202023%2009:57:22%20GMT	https://templates.iqonic.design/robots.txt		(from )
12:57:24	15406/15406	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%223c2e-5c4914ab0fee7%22	https://templates.iqonic.design/muzik/html/images/favicon.ico	/home/ontuga/websites/Music%20app/templates.iqonic.design/muzik/html/images/favicon.ico	(from https://templates.iqonic.design/muzik/html/index.html)
12:57:25	184554/184554	---M-Z	200	added ('OK')	text/css	etag:%222d0ea-5c4914aae8de5-gzip%22	https://templates.iqonic.design/muzik/html/css/bootstrap.min.css	/home/ontuga/websites/Music%20app/templates.iqonic.design/muzik/html/css/bootstrap.min.css	(from https://templates.iqonic.design/muzik/html/index.html)
12:57:25	41325/41325	---M-Z	200	added ('OK')	text/css	etag:%22a16d-5c4914aae8de5-gzip%22	https://templates.iqonic.design/muzik/html/css/typography.css	/home/ontuga/websites/Music%20app/templates.iqonic.design/muzik/html/css/typography.css	(from https://templates.iqonic.design/muzik/html/index.html)
12:57:27	109983/109983	---M-Z	200	added ('OK')	text/css	etag:%221ad9f-5c4914aae8de5-gzip%22	https://templates.iqonic.design/muzik/html/css/style.css	/home/ontuga/websites/Music%20app/templates.iqonic.design/muzik/html/css/style.css	(from https://templates.iqonic.design/muzik/html/index.html)
12:57:27	25925/25925	---M-Z	200	added ('OK')	text/css	etag:%226545-5c4914aae8de5-gzip%22	https://templates.iqonic.design/muzik/html/css/responsive.css	/home/ontuga/websites/Music%20app/templates.iqonic.design/muzik/html/css/responsive.css	(from https://templates.iqonic.design/muzik/html/index.html)
12:57:28	23511/23511	---M--	200	added ('OK')	image/png	etag:%225bd7-5c4914ab11e27%22	https://templates.iqonic.design/muzik/html/images/logo.png	/home/ontuga/websites/Music%20app/templates.iqonic.design/muzik/html/images/logo.png	(from https://templates.iqonic.design/muzik/html/index.html)
12:57:30	121238/121238	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jun%202021%2013:06:26%20GMT	https://templates.iqonic.design/muzik/html/latest.html	/home/ontuga/websites/Music%20app/templates.iqonic.design/muzik/html/latest.html	(from https://templates.iqonic.design/muzik/html/index.html)
12:57:31	114238/114238	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jun%202021%2013:06:25%20GMT	https://templates.iqonic.design/muzik/html/albums.html	/home/ontuga/websites/Music%20app/templates.iqonic.design/muzik/html/albums.html	(from https://templates.iqonic.design/muzik/html/index.html)
12:57:32	66912/66912	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jun%202021%2013:06:25%20GMT	https://templates.iqonic.design/muzik/html/admin-dashboard.html	/home/ontuga/websites/Music%20app/templates.iqonic.design/muzik/html/admin-dashboard.html	(from https://templates.iqonic.design/muzik/html/index.html)
12:57:32	52062/52062	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jun%202021%2013:06:25%20GMT	https://templates.iqonic.design/muzik/html/admin-category.html	/home/ontuga/websites/Music%20app/templates.iqonic.design/muzik/html/admin-category.html	(from https://templates.iqonic.design/muzik/html/index.html)
12:57:34	54931/54931	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jun%202021%2013:06:25%20GMT	https://templates.iqonic.design/muzik/html/admin-writer.html	/home/ontuga/websites/Music%20app/templates.iqonic.design/muzik/html/admin-writer.html	(from https://templates.iqonic.design/muzik/html/index.html)
12:57:35	54595/54595	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jun%202021%2013:06:25%20GMT	https://templates.iqonic.design/muzik/html/admin-singer.html	/home/ontuga/websites/Music%20app/templates.iqonic.design/muzik/html/admin-singer.html	(from https://templates.iqonic.design/muzik/html/index.html)
12:57:36	55390/55390	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jun%202021%2013:06:25%20GMT	https://templates.iqonic.design/muzik/html/admin-song.html	/home/ontuga/websites/Music%20app/templates.iqonic.design/muzik/html/admin-song.html	(from https://templates.iqonic.design/muzik/html/index.html)
12:57:37	44362/44362	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jun%202021%2013:06:25%20GMT	https://templates.iqonic.design/muzik/html/calendar.html	/home/ontuga/websites/Music%20app/templates.iqonic.design/muzik/html/calendar.html	(from https://templates.iqonic.design/muzik/html/index.html)
12:57:38	68488/68488	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jun%202021%2013:06:26%20GMT	https://templates.iqonic.design/muzik/html/profile.html	/home/ontuga/websites/Music%20app/templates.iqonic.design/muzik/html/profile.html	(from https://templates.iqonic.design/muzik/html/index.html)
12:57:38	59304/59304	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jun%202021%2013:06:26%20GMT	https://templates.iqonic.design/muzik/html/profile-edit.html	/home/ontuga/websites/Music%20app/templates.iqonic.design/muzik/html/profile-edit.html	(from https://templates.iqonic.design/muzik/html/index.html)
12:57:40	50011/50011	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jun%202021%2013:06:25%20GMT	https://templates.iqonic.design/muzik/html/add-user.html	/home/ontuga/websites/Music%20app/templates.iqonic.design/muzik/html/add-user.html	(from https://templates.iqonic.design/muzik/html/index.html)
12:57:41	56885/56885	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jun%202021%2013:06:26%20GMT	https://templates.iqonic.design/muzik/html/user-list.html	/home/ontuga/websites/Music%20app/templates.iqonic.design/muzik/html/user-list.html	(from https://templates.iqonic.design/muzik/html/index.html)
12:57:42	51249/51249	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jun%202021%2013:06:26%20GMT	https://templates.iqonic.design/muzik/html/ui-colors.html	/home/ontuga/websites/Music%20app/templates.iqonic.design/muzik/html/ui-colors.html	(from https://templates.iqonic.design/muzik/html/index.html)
12:57:43	50931/50931	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jun%202021%2013:06:26%20GMT	https://templates.iqonic.design/muzik/html/ui-typography.html	/home/ontuga/websites/Music%20app/templates.iqonic.design/muzik/html/ui-typography.html	(from https://templates.iqonic.design/muzik/html/index.html)
12:57:44	76051/76051	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jun%202021%2013:06:26%20GMT	https://templates.iqonic.design/muzik/html/ui-alerts.html	/home/ontuga/websites/Music%20app/templates.iqonic.design/muzik/html/ui-alerts.html	(from https://templates.iqonic.design/muzik/html/index.html)
12:57:45	51139/51139	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jun%202021%2013:06:26%20GMT	https://templates.iqonic.design/muzik/html/ui-badges.html	/home/ontuga/websites/Music%20app/templates.iqonic.design/muzik/html/ui-badges.html	(from https://templates.iqonic.design/muzik/html/index.html)
12:57:46	50957/50957	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jun%202021%2013:06:26%20GMT	https://templates.iqonic.design/muzik/html/ui-breadcrumb.html	/home/ontuga/websites/Music%20app/templates.iqonic.design/muzik/html/ui-breadcrumb.html	(from https://templates.iqonic.design/muzik/html/index.html)
12:57:47	69680/69680	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jun%202021%2013:06:26%20GMT	https://templates.iqonic.design/muzik/html/ui-buttons.html	/home/ontuga/websites/Music%20app/templates.iqonic.design/muzik/html/ui-buttons.html	(from https://templates.iqonic.design/muzik/html/index.html)
12:57:48	68695/68695	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jun%202021%2013:06:26%20GMT	https://templates.iqonic.design/muzik/html/ui-cards.html	/home/ontuga/websites/Music%20app/templates.iqonic.design/muzik/html/ui-cards.html	(from https://templates.iqonic.design/muzik/html/index.html)
12:57:48	52086/52086	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jun%202021%2013:06:26%20GMT	https://templates.iqonic.design/muzik/html/ui-carousel.html	/home/ontuga/websites/Music%20app/templates.iqonic.design/muzik/html/ui-carousel.html	(from https://templates.iqonic.design/muzik/html/index.html)
12:57:50	43479/43479	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Jun%202021%2013:06:26%20GMT	https://templates.iqonic.design/muzik/html/ui-embed-video.html	/home/ontuga/websites/Music%20app/templates.iqonic.design/muzik/html/ui-embed-video.html	(from https://templates.iqonic.design/muzik/html/index.html)
